epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,1252,0.52695,1.09351,0.53612,0.95335,0,0.79079,0.63577,0.69975,0.61379,0.77766,0.62823,0.67189,0.57295,0.51482,1.42041,0.70653,1.0129,0,0.000137252,0.000137252,0.000137252
67,1271.35,0.52063,1.05963,0.51037,0.94451,0,0.72542,0.68029,0.74048,0.63179,0.71537,0.67127,0.7164,0.59327,0.50948,1.39602,0.68507,1.00324,0,0.000133441,0.000133441,0.000133441
68,1291.09,0.52741,1.03074,0.52537,0.94884,0,0.73574,0.70301,0.71701,0.63177,0.72636,0.69382,0.6992,0.59124,0.5142,1.40664,0.67249,1.01326,0,0.000129629,0.000129629,0.000129629
69,1310.24,0.51066,1.04113,0.51879,0.94183,0,0.79567,0.68418,0.73778,0.63982,0.78305,0.67643,0.71995,0.60321,0.5342,1.39467,0.68143,1.03243,0,0.000125818,0.000125818,0.000125818
70,1329.31,0.51778,1.02983,0.51154,0.95053,0,0.778,0.65534,0.73927,0.66404,0.76633,0.64658,0.72309,0.62448,0.53759,1.30663,0.72997,1.03432,0,0.000122007,0.000122007,0.000122007
71,1348.3,0.51943,1.02511,0.51077,0.94279,0,0.84018,0.68776,0.75445,0.68016,0.82946,0.67857,0.73684,0.64097,0.52689,1.28936,0.69292,1.0148,0,0.000118195,0.000118195,0.000118195
72,1367.3,0.51551,1.03018,0.5038,0.935,0,0.76763,0.65436,0.74263,0.65026,0.75946,0.647,0.7216,0.60456,0.54215,1.33502,0.67866,1.03407,0,0.000114384,0.000114384,0.000114384
73,1386.28,0.51161,1.00605,0.49915,0.94448,0,0.71173,0.69266,0.75337,0.67349,0.70366,0.6853,0.74426,0.63396,0.52086,1.38563,0.65573,1.01706,0,0.000110572,0.000110572,0.000110572
74,1405.51,0.51322,1.01041,0.51059,0.94502,0,0.82501,0.7016,0.75291,0.67096,0.81444,0.69151,0.7319,0.64099,0.52702,1.39725,0.66004,1.02244,0,0.000106761,0.000106761,0.000106761
75,1424.62,0.50145,1.00771,0.48239,0.93891,0,0.72217,0.68981,0.73281,0.66559,0.71381,0.68245,0.72218,0.63159,0.52564,1.38938,0.68546,1.02216,0,0.000102949,0.000102949,0.000102949
76,1443.34,0.50333,1.00915,0.48251,0.93832,0,0.7283,0.62948,0.7225,0.64905,0.66363,0.66251,0.70915,0.61404,0.52159,1.33315,0.77844,1.01944,0,9.91375e-05,9.91375e-05,9.91375e-05
77,1462.41,0.50467,0.98293,0.48065,0.94296,0,0.70898,0.64182,0.71953,0.64645,0.7005,0.6345,0.70568,0.6175,0.52976,1.35815,0.7012,1.02377,0,9.5326e-05,9.5326e-05,9.5326e-05
78,1481.07,0.49243,0.9978,0.48058,0.9408,0,0.76621,0.63898,0.71548,0.64703,0.75767,0.63162,0.70662,0.61533,0.5352,1.35741,0.72565,1.02836,0,9.15145e-05,9.15145e-05,9.15145e-05
79,1500.04,0.50241,1.00115,0.47047,0.93133,0,0.75092,0.67783,0.73391,0.66303,0.74282,0.66649,0.72016,0.62992,0.52574,1.40798,0.69707,1.02039,0,8.7703e-05,8.7703e-05,8.7703e-05
80,1519.25,0.50722,1.03668,0.48461,0.94479,0,0.84024,0.67155,0.71713,0.65225,0.83017,0.66311,0.70284,0.61154,0.52464,1.41155,0.65895,1.02849,0,8.38915e-05,8.38915e-05,8.38915e-05
81,1538.4,0.49708,1.00726,0.47688,0.93454,0,0.74068,0.64801,0.72075,0.65478,0.73101,0.63971,0.70463,0.61391,0.52125,1.38887,0.67312,1.0245,0,8.008e-05,8.008e-05,8.008e-05
82,1557.54,0.49034,1.00678,0.46233,0.93179,0,0.7625,0.64188,0.73128,0.65314,0.75265,0.63361,0.7112,0.62185,0.51502,1.36582,0.68941,1.01667,0,7.62685e-05,7.62685e-05,7.62685e-05
83,1576.27,0.49089,1.01104,0.46329,0.93603,0,0.76072,0.65372,0.73249,0.66215,0.7371,0.62979,0.70767,0.61829,0.51675,1.40527,0.68274,1.01846,0,7.2457e-05,7.2457e-05,7.2457e-05
84,1595.44,0.47959,0.95191,0.45979,0.92493,0,0.71774,0.71987,0.73361,0.66113,0.69345,0.69939,0.71094,0.62152,0.51195,1.38361,0.68824,1.00732,0,6.86455e-05,6.86455e-05,6.86455e-05
85,1614.47,0.49275,1.00683,0.46561,0.9349,0,0.76543,0.6969,0.74271,0.66965,0.75275,0.68509,0.72293,0.63218,0.51629,1.4093,0.66391,1.01243,0,6.4834e-05,6.4834e-05,6.4834e-05
86,1633.37,0.49359,0.98787,0.45781,0.93075,0,0.75037,0.60149,0.70893,0.63901,0.74752,0.58838,0.6905,0.60446,0.51881,1.4118,0.68789,1.01639,0,6.10225e-05,6.10225e-05,6.10225e-05
87,1652.16,0.48902,0.9785,0.45234,0.92676,0,0.72596,0.62389,0.72236,0.64832,0.7228,0.60967,0.70191,0.60855,0.52464,1.3779,0.66468,1.02496,0,5.7211e-05,5.7211e-05,5.7211e-05
88,1670.87,0.48768,0.97645,0.45561,0.93451,0,0.74339,0.67401,0.73157,0.65565,0.73479,0.6669,0.71107,0.61104,0.52899,1.39189,0.70489,1.03697,0,5.33995e-05,5.33995e-05,5.33995e-05
89,1689.75,0.47792,0.97667,0.44472,0.92854,0,0.71079,0.6278,0.71101,0.64004,0.70333,0.61388,0.68938,0.59822,0.52464,1.37306,0.69977,1.02761,0,4.9588e-05,4.9588e-05,4.9588e-05
90,1708.45,0.48157,0.97289,0.45259,0.93188,0,0.727,0.61846,0.71906,0.65436,0.71819,0.61114,0.70037,0.61433,0.52137,1.40374,0.70217,1.02409,0,4.57765e-05,4.57765e-05,4.57765e-05
91,1733.98,0.3793,0.83457,0.30908,0.86856,0,0.75692,0.64106,0.73901,0.65816,0.75647,0.62007,0.71486,0.61759,0.51774,1.39846,0.69135,1.03221,0,4.1965e-05,4.1965e-05,4.1965e-05
92,1752.62,0.37997,0.82201,0.30557,0.86489,0,0.79545,0.61092,0.72249,0.65516,0.78539,0.60254,0.69879,0.60774,0.50454,1.34584,0.68451,1.01782,0,3.81535e-05,3.81535e-05,3.81535e-05
93,1771.03,0.37649,0.79689,0.30041,0.86727,0,0.69977,0.73972,0.73628,0.66922,0.69183,0.73023,0.71183,0.62114,0.50565,1.38587,0.68746,1.01474,0,3.4342e-05,3.4342e-05,3.4342e-05
94,1789.9,0.37757,0.80697,0.30846,0.86787,0,0.70041,0.69563,0.72739,0.65757,0.69156,0.68361,0.70541,0.60913,0.50226,1.37716,0.69865,1.01478,0,3.05305e-05,3.05305e-05,3.05305e-05
95,1808.08,0.36076,0.78579,0.28758,0.85163,0,0.65333,0.71869,0.70812,0.63637,0.62758,0.70103,0.68321,0.59285,0.50872,1.33445,0.69633,1.01988,0,2.6719e-05,2.6719e-05,2.6719e-05
96,1826.89,0.36922,0.79852,0.29316,0.86052,0,0.65114,0.67668,0.71055,0.64563,0.62699,0.658,0.6871,0.60031,0.50664,1.37427,0.68927,1.0169,0,2.29075e-05,2.29075e-05,2.29075e-05
97,1845.51,0.3609,0.77212,0.27894,0.85022,0,0.66053,0.66064,0.71509,0.64906,0.71115,0.58122,0.68625,0.5987,0.50248,1.34069,0.68645,1.01425,0,1.9096e-05,1.9096e-05,1.9096e-05
98,1864.26,0.35935,0.78214,0.2846,0.85333,0,0.65062,0.7234,0.71754,0.65026,0.62324,0.70657,0.69194,0.60141,0.50547,1.32424,0.67597,1.01992,0,1.52845e-05,1.52845e-05,1.52845e-05
99,1883.08,0.36129,0.77745,0.2802,0.85273,0,0.7442,0.67973,0.73681,0.66069,0.71381,0.66159,0.71135,0.61237,0.50821,1.33387,0.67078,1.02598,0,1.1473e-05,1.1473e-05,1.1473e-05
100,1901.73,0.36053,0.78514,0.29099,0.86071,0,0.68669,0.65749,0.71581,0.64863,0.67455,0.64805,0.70363,0.603,0.51138,1.352,0.67162,1.02962,0,7.6615e-06,7.6615e-06,7.6615e-06
